"filename", "language", "TypeScript", "Markdown", "JSON", "Ignore", "JavaScript", "Shell Script", "JSON with Comments", "XML", "HTML", "TypeScript JSX", "Docker", "PostCSS", "YAML", "MS SQL", "comment", "blank", "total"
"c:\dev\cloudbox\docs\deployment.md", "Markdown", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 132
"c:\dev\cloudbox\docs\environment_variables.md", "Markdown", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 225
"c:\dev\cloudbox\docs\frontend_guide.md", "Markdown", 0, 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 463
"c:\dev\cloudbox\docs\getting_started.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 79
"c:\dev\cloudbox\docs\i18n.md", "Markdown", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 335
"c:\dev\cloudbox\docs\queues.md", "Markdown", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 369
"c:\dev\cloudbox\docs\runbooks\backup_restore.md", "Markdown", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 323
"c:\dev\cloudbox\docs\security_hardening.md", "Markdown", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 395
"c:\dev\cloudbox\docs\testing.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 165
"c:\dev\cloudbox\docs\troubleshooting.md", "Markdown", 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 474
"c:\dev\cloudbox\docs\websockets.md", "Markdown", 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 412
"c:\dev\cloudbox\e2e\tests\admin\summary.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\dev\cloudbox\frontend\.dockerignore", "Ignore", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\dev\cloudbox\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 19, 16, 55
"c:\dev\cloudbox\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 46
"c:\dev\cloudbox\frontend\eslint_output.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\dev\cloudbox\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\dev\cloudbox\frontend\package-lock.json", "JSON", 0, 0, 7134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7135
"c:\dev\cloudbox\frontend\package.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\dev\cloudbox\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\dev\cloudbox\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cloudbox\frontend\public\logos\Docker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 0, 12
"c:\dev\cloudbox\frontend\public\logos\Node.js.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\cloudbox\frontend\public\logos\Postgresql.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\dev\cloudbox\frontend\public\logos\React.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\dev\cloudbox\frontend\public\logos\Redis.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\cloudbox\frontend\public\logos\Typescript.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\cloudbox\frontend\public\logos\Vitejs.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\dev\cloudbox\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 20, 28, 158
"c:\dev\cloudbox\frontend\src\components\AdminRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\dev\cloudbox\frontend\src\components\AuthenticatedImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 10, 23, 142
"c:\dev\cloudbox\frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 3, 23, 144
"c:\dev\cloudbox\frontend\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 475, 0, 0, 0, 0, 26, 41, 542
"c:\dev\cloudbox\frontend\src\components\LanguageSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 9, 76
"c:\dev\cloudbox\frontend\src\components\MusicPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 568, 0, 0, 0, 0, 51, 64, 683
"c:\dev\cloudbox\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\dev\cloudbox\frontend\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 613, 0, 0, 0, 0, 23, 88, 724
"c:\dev\cloudbox\frontend\src\components\UploadProgress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 3, 7, 104
"c:\dev\cloudbox\frontend\src\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 8, 24, 219
"c:\dev\cloudbox\frontend\src\components\admin\FileIconsAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 23, 219
"c:\dev\cloudbox\frontend\src\components\admin\sections\ActivitySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 7, 13, 223
"c:\dev\cloudbox\frontend\src\components\admin\sections\BrandingSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 9, 18, 262
"c:\dev\cloudbox\frontend\src\components\admin\sections\EmailSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 502, 0, 0, 0, 0, 25, 44, 571
"c:\dev\cloudbox\frontend\src\components\admin\sections\LegalSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 3, 21, 207
"c:\dev\cloudbox\frontend\src\components\admin\sections\OverviewSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 507, 0, 0, 0, 0, 8, 45, 560
"c:\dev\cloudbox\frontend\src\components\admin\sections\QueuesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 6, 22, 336
"c:\dev\cloudbox\frontend\src\components\admin\sections\SettingsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 11, 38, 411
"c:\dev\cloudbox\frontend\src\components\admin\sections\StorageRequestsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 1, 17, 229
"c:\dev\cloudbox\frontend\src\components\admin\sections\UsersSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 0, 0, 0, 0, 15, 26, 474
"c:\dev\cloudbox\frontend\src\components\auth\TwoFactorInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 15, 26, 246
"c:\dev\cloudbox\frontend\src\components\auth\TwoFactorSetup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 14, 40, 368
"c:\dev\cloudbox\frontend\src\components\dnd\DndContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 18, 42, 338
"c:\dev\cloudbox\frontend\src\components\files\Breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 2, 11, 89
"c:\dev\cloudbox\frontend\src\components\files\DocumentThumbnail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 25, 27, 305
"c:\dev\cloudbox\frontend\src\components\files\FileCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 452, 0, 0, 0, 0, 37, 40, 529
"c:\dev\cloudbox\frontend\src\components\files\FileToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 11, 92
"c:\dev\cloudbox\frontend\src\components\files\FolderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 555, 0, 0, 0, 0, 37, 42, 634
"c:\dev\cloudbox\frontend\src\components\files\VersionHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 4, 13, 229
