Date : 2025-12-29 02:00:46
Directory : c:\dev\cloudbox
Total : 260 files,  83389 codes, 4280 comments, 8693 blanks, all 96362 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\dev\cloudbox\docs\queues.md                                                               | Markdown           |        262 |          0 |        107 |        369 |
| c:\dev\cloudbox\docs\runbooks\backup_restore.md                                              | Markdown           |        227 |          0 |         96 |        323 |
| c:\dev\cloudbox\docs\security_hardening.md                                                   | Markdown           |        273 |          0 |        122 |        395 |
| c:\dev\cloudbox\docs\testing.md                                                              | Markdown           |        112 |          0 |         53 |        165 |
| c:\dev\cloudbox\docs\troubleshooting.md                                                      | Markdown           |        314 |          0 |        160 |        474 |
| c:\dev\cloudbox\docs\websockets.md                                                           | Markdown           |        303 |          0 |        109 |        412 |
| c:\dev\cloudbox\e2e\tests\admin\summary.spec.ts                                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\dev\cloudbox\frontend\.dockerignore                                                       | Ignore             |         16 |          7 |          7 |         30 |
| c:\dev\cloudbox\frontend\Dockerfile                                                          | Docker             |         20 |         19 |         16 |         55 |
| c:\dev\cloudbox\frontend\eslint.config.js                                                    | JavaScript         |         37 |          4 |          5 |         46 |
| c:\dev\cloudbox\frontend\eslint_output.json                                                  | JSON               |          9 |          0 |          8 |         17 |
| c:\dev\cloudbox\frontend\index.html                                                          | HTML               |         14 |          0 |          1 |         15 |
| c:\dev\cloudbox\frontend\package-lock.json                                                   | JSON               |      7,134 |          0 |          1 |      7,135 |
| c:\dev\cloudbox\frontend\package.json                                                        | JSON               |         64 |          0 |          1 |         65 |
| c:\dev\cloudbox\frontend\postcss.config.js                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\dev\cloudbox\frontend\public\favicon.svg                                                  | XML                |          4 |          0 |          1 |          5 |
| c:\dev\cloudbox\frontend\public\logos\Docker.svg                                             | XML                |         11 |          1 |          0 |         12 |
| c:\dev\cloudbox\frontend\public\logos\Node.js.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\dev\cloudbox\frontend\public\logos\Postgresql.svg                                         | XML                |         21 |          0 |          1 |         22 |
| c:\dev\cloudbox\frontend\public\logos\React.svg                                              | XML                |          9 |          0 |          1 |         10 |
| c:\dev\cloudbox\frontend\public\logos\Redis.svg                                              | XML                |          1 |          0 |          0 |          1 |
| c:\dev\cloudbox\frontend\public\logos\Typescript.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\dev\cloudbox\frontend\public\logos\Vitejs.svg                                             | XML                |         15 |          0 |          1 |         16 |
| c:\dev\cloudbox\frontend\src\App.tsx                                                         | TypeScript JSX     |        110 |         20 |         28 |        158 |
| c:\dev\cloudbox\frontend\src\components\AdminRoute.tsx                                       | TypeScript JSX     |         13 |          0 |          5 |         18 |
| c:\dev\cloudbox\frontend\src\components\AuthenticatedImage.tsx                               | TypeScript JSX     |        109 |         10 |         23 |        142 |
| c:\dev\cloudbox\frontend\src\components\ErrorBoundary.tsx                                    | TypeScript JSX     |        118 |          3 |         23 |        144 |
| c:\dev\cloudbox\frontend\src\components\Header.tsx                                           | TypeScript JSX     |        475 |         26 |         41 |        542 |
| c:\dev\cloudbox\frontend\src\components\LanguageSelector.tsx                                 | TypeScript JSX     |         66 |          1 |          9 |         76 |
| c:\dev\cloudbox\frontend\src\components\MusicPlayer.tsx                                      | TypeScript JSX     |        568 |         51 |         64 |        683 |
| c:\dev\cloudbox\frontend\src\components\ProtectedRoute.tsx                                   | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\dev\cloudbox\frontend\src\components\Sidebar.tsx                                          | TypeScript JSX     |        613 |         23 |         88 |        724 |
| c:\dev\cloudbox\frontend\src\components\UploadProgress.tsx                                   | TypeScript JSX     |         94 |          3 |          7 |        104 |
| c:\dev\cloudbox\frontend\src\components\admin\AdminSidebar.tsx                               | TypeScript JSX     |        187 |          8 |         24 |        219 |
| c:\dev\cloudbox\frontend\src\components\admin\FileIconsAdmin.tsx                             | TypeScript JSX     |        196 |          0 |         23 |        219 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\ActivitySection.tsx                   | TypeScript JSX     |        203 |          7 |         13 |        223 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\BrandingSection.tsx                   | TypeScript JSX     |        235 |          9 |         18 |        262 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\EmailSection.tsx                      | TypeScript JSX     |        502 |         25 |         44 |        571 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\LegalSection.tsx                      | TypeScript JSX     |        183 |          3 |         21 |        207 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\OverviewSection.tsx                   | TypeScript JSX     |        507 |          8 |         45 |        560 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\QueuesSection.tsx                     | TypeScript JSX     |        308 |          6 |         22 |        336 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\SettingsSection.tsx                   | TypeScript JSX     |        362 |         11 |         38 |        411 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\StorageRequestsSection.tsx            | TypeScript JSX     |        211 |          1 |         17 |        229 |
| c:\dev\cloudbox\frontend\src\components\admin\sections\UsersSection.tsx                      | TypeScript JSX     |        433 |         15 |         26 |        474 |
| c:\dev\cloudbox\frontend\src\components\auth\TwoFactorInput.tsx                              | TypeScript JSX     |        205 |         15 |         26 |        246 |
| c:\dev\cloudbox\frontend\src\components\auth\TwoFactorSetup.tsx                              | TypeScript JSX     |        314 |         14 |         40 |        368 |
| c:\dev\cloudbox\frontend\src\components\dnd\DndContextProvider.tsx                           | TypeScript JSX     |        278 |         18 |         42 |        338 |
| c:\dev\cloudbox\frontend\src\components\files\Breadcrumbs.tsx                                | TypeScript JSX     |         76 |          2 |         11 |         89 |
| c:\dev\cloudbox\frontend\src\components\files\DocumentThumbnail.tsx                          | TypeScript JSX     |        253 |         25 |         27 |        305 |
| c:\dev\cloudbox\frontend\src\components\files\FileCard.tsx                                   | TypeScript JSX     |        452 |         37 |         40 |        529 |
| c:\dev\cloudbox\frontend\src\components\files\FileToolbar.tsx                                | TypeScript JSX     |         80 |          1 |         11 |         92 |
| c:\dev\cloudbox\frontend\src\components\files\FolderCard.tsx                                 | TypeScript JSX     |        555 |         37 |         42 |        634 |
| c:\dev\cloudbox\frontend\src\components\files\VersionHistory.tsx                             | TypeScript JSX     |        212 |          4 |         13 |        229 |
| c:\dev\cloudbox\frontend\src\components\gallery\DocumentViewer.tsx                           | TypeScript JSX     |        938 |         53 |         73 |      1,064 |
| c:\dev\cloudbox\frontend\src\components\gallery\ImageGallery.tsx                             | TypeScript JSX     |        453 |         24 |         48 |        525 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer.tsx                              | TypeScript JSX     |        331 |         23 |         36 |        390 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer\DetailsPanel.tsx                 | TypeScript JSX     |        165 |          9 |         13 |        187 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer\Filmstrip.tsx                    | TypeScript JSX     |        151 |          7 |         14 |        172 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer\ImageCanvas.tsx                  | TypeScript JSX     |        200 |          7 |         22 |        229 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer\TopBar.tsx                       | TypeScript JSX     |        171 |          5 |         15 |        191 |
| c:\dev\cloudbox\frontend\src\components\gallery\MediaViewer\VideoPlayer.tsx                  | TypeScript JSX     |        347 |         20 |         31 |        398 |
| c:\dev\cloudbox\frontend\src\components\gallery\VideoPreview.tsx                             | TypeScript JSX     |        457 |         23 |         40 |        520 |
| c:\dev\cloudbox\frontend\src\components\icons\SolidIcons.tsx                                 | TypeScript JSX     |        416 |         57 |         31 |        504 |
| c:\dev\cloudbox\frontend\src\components\modals\CompressModal.tsx                             | TypeScript JSX     |        294 |         17 |         29 |        340 |
